id;alert;created_at;updated_at
1;Lead Direct;2021-03-08T05:32:53;2021-03-07T23:51:31
2;Strategist Shirt Games;2021-03-07T20:27:55;2021-03-08T06:24:24
3;Springs Street;2021-03-08T05:29:46;2021-03-07T23:15:00
4;bricks-and-clicks Afghani PCI;2021-03-08T10:52:51;2021-03-07T23:01:21
5;Practical Granite Towels;2021-03-08T05:20:13;2021-03-07T23:31:29
6;Fantastic Cotton Shirt;2021-03-08T00:44:24;2021-03-08T00:41:11
7;forecast Money Market Account;2021-03-07T11:52:00;2021-03-07T20:52:49
8;Canada Fantastic Plastic Chicken Illinois;2021-03-08T04:07:48;2021-03-07T14:07:59
9;exuding HDD;2021-03-07T18:02:11;2021-03-08T02:41:40
10;niches Tasty Soft Towels Dynamic;2021-03-08T01:47:30;2021-03-08T02:37:16
